1, -62.944000, -28.289000, -100.0
2, -63.457000, -24.941000, -100.0
3, -112.126000, 28.230000, -100.0
4, 33.549000, -21.311000, -100.0
5, -71.235000, -27.099000, -100.0
6, -67.009000, -24.345000, -100.0
7, -63.115000, -26.845000, -100.0
8, -63.292000, -26.161000, -100.0
9, -65.749000, -22.214000, -100.0
10, -28.097000, -56.077000, -100.0
11, -63.193000, -26.830000, -100.0
12, -124.467000, 40.665000, -100.0
13, -115.263000, 32.276000, -100.0
14, -3.476000, 37.008000, -100.0
15, -63.237000, -26.851000, -100.0
16, -63.136000, -28.413000, -100.0
17, -63.292000, -28.258000, -100.0
18, -63.094000, -28.043000, -100.0
19, -70.621000, -28.080000, -100.0
