1, 301.000000, 68.000000, -100.0
2, 252.942419, 59.057831, -100.0
3, 230.881045, 41.282760, -100.0
4, 218.629112, 21.320260, -100.0
5, 209.172786, 0.813335, -100.0
6, 199.524557, -19.584143, -100.0
7, 186.684051, -39.152437, -100.0
8, 164.188713, -56.026580, -100.0
9, 121.000000, -64.000000, -100.0
10, 77.811287, -56.026580, -100.0
11, 55.315949, -39.152437, -100.0
12, 42.475443, -19.584143, -100.0
13, 32.827214, 0.813335, -100.0
14, 23.370888, 21.320260, -100.0
15, 11.118955, 41.282760, -100.0
16, -10.942419, 59.057831, -100.0
17, 301.000000, 56.000000, -300.0
18, 265.517965, 49.513108, -300.0
19, 243.396843, 34.439195, -300.0
20, 229.923279, 15.882082, -300.0
21, 220.150753, -4.050120, -300.0
22, 211.336829, -24.514064, -300.0
23, 200.855348, -44.974294, -300.0
24, 181.706716, -64.397368, -300.0
25, 121.000000, -76.000000, -300.0
26, 60.293284, -64.397368, -300.0
27, 41.144652, -44.974294, -300.0
28, 30.663171, -24.514064, -300.0
29, 21.849247, -4.050120, -300.0
30, 12.076721, 15.882082, -300.0
31, -1.396843, 34.439195, -300.0
32, -23.517965, 49.513108, -300.0
33, 301.000000, 41.000000, -600.0
34, 275.484907, 36.372666, -600.0
35, 256.261843, 24.428483, -600.0
36, 243.193189, 8.334367, -600.0
37, 234.073677, -9.897978, -600.0
38, 227.310317, -29.257692, -600.0
39, 222.073326, -49.230762, -600.0
40, 218.475915, -69.524769, -600.0
41, 301.000000, -89.000000, -600.0
42, 23.524085, -69.524769, -600.0
43, 19.926674, -49.230762, -600.0
44, 14.689683, -29.257692, -600.0
45, 7.926323, -9.897978, -600.0
46, -1.193189, 8.334367, -600.0
47, -14.261843, 24.428483, -600.0
48, -33.484907, 36.372666, -600.0
