1, 276.233476, -45.867991, -603.6
2, 268.111993, -30.355709, -576.6
3, 268.120065, -30.431589, -13.7
4, 268.126660, -24.250196, -184.9
5, 271.883865, -41.059228, -583.0
6, 269.979016, -37.575643, -581.9
7, 270.351097, -15.240204, -290.6
8, -38.968346, -49.023937, -112.3
9, 271.690640, -40.765973, -570.6
10, 279.880061, -1.564201, -5.2
11, 271.660637, -40.719508, -584.3
12, 275.985547, -45.657942, -592.7
13, 275.149657, -44.905693, -551.9
14, 275.130793, -44.887877, -586.9
15, 268.561445, -33.164440, -45.0
